INFO  - 2013-11-22 01:20:10.810; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-11-22 01:20:10.861; org.apache.solr.schema.IndexSchema; [blacklight-core] Schema name=Blacklight Igal Index
INFO  - 2013-11-22 01:20:10.893; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-11-22 01:20:11.584; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-11-22 01:20:11.589; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2013-11-22 01:20:11.594; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-11-22 01:20:11.929; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-11-22 01:20:11.964; org.apache.solr.core.SolrCore; [blacklight-core] Opening new SolrCore at /opt/solr/blacklight-core/, dataDir=/opt/solr/blacklight-core/data/
INFO  - 2013-11-22 01:20:11.971; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@19209ea
INFO  - 2013-11-22 01:20:12.065; org.apache.solr.core.SolrCore; [blacklight-core] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-11-22 01:20:12.066; org.apache.solr.core.SolrCore; [blacklight-core] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-11-22 01:20:12.074; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-11-22 01:20:12.104; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/blacklight-core/data
INFO  - 2013-11-22 01:20:12.117; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/blacklight-core/data/index/
INFO  - 2013-11-22 01:20:12.118; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/blacklight-core/data/index
INFO  - 2013-11-22 01:20:12.136; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
