INFO  - 2013-11-22 01:40:48.469; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-11-22 01:40:48.469; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-11-22 01:40:48.469; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-11-22 01:40:48.538; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-11-22 01:40:48.616; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-11-22 01:40:48.773; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-11-22 01:40:48.785; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-11-22 01:40:48.790; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-11-22 01:40:48.792; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-11-22 01:40:48.838; org.apache.solr.schema.IndexSchema; [blacklight-core] Schema name=Blacklight Igal Index
INFO  - 2013-11-22 01:40:48.865; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-11-22 01:40:49.476; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-11-22 01:40:49.478; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2013-11-22 01:40:49.478; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-11-22 01:40:49.777; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-11-22 01:40:49.805; org.apache.solr.core.SolrCore; [blacklight-core] Opening new SolrCore at /opt/solr/blacklight-core/, dataDir=/opt/solr/blacklight-core/data/
INFO  - 2013-11-22 01:40:49.813; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@19209ea
INFO  - 2013-11-22 01:40:49.887; org.apache.solr.core.SolrCore; [blacklight-core] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-11-22 01:40:49.887; org.apache.solr.core.SolrCore; [blacklight-core] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-11-22 01:40:49.899; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-11-22 01:40:49.930; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/blacklight-core/data
INFO  - 2013-11-22 01:40:49.931; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/blacklight-core/data/index/
INFO  - 2013-11-22 01:40:49.931; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/blacklight-core/data/index
INFO  - 2013-11-22 01:40:49.956; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-11-22 01:40:49.980; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-11-22 01:40:49.985; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
